"code","level1","level2","level3","level4"
"TAT07T08173","TRD ACABADOS","TRD BAÑOS","TRD ACCESORIOS Y REPUESTOS","TRD ASIENTOS PARA INODOROS"
"TAT07T08192","TRD ACABADOS","TRD BAÑOS","TRD ACCESORIOS Y REPUESTOS","TRD BARRAS DE SEGURIDAD"
"TAT07T08526","TRD ACABADOS","TRD BAÑOS","TRD ACCESORIOS Y REPUESTOS","TRD JUEGOS DE ACCESORIOS"
"TAT07T98197","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD BEBEDEROS"
"TAT07T98203","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD BIDET"
"TAT07T98515","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD INODOROS"
"TAT07T98546","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD LAVATORIOS"
"TAT07T98547","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD LETRINAS"
"TAT07T98613","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD MINGITORIOS"
"TAT07T98651","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD PEDESTALES"
"TAT07T98846","TRD ACABADOS","TRD BAÑOS","TRD LOZA SANITARIA","TRD TINAS"
"TAT07TB5218","TRD ACABADOS","TRD BAÑOS","TRD MUEBLES DE BAÑO","TRD BOTIQUINES"
"TAT07TB5619","TRD ACABADOS","TRD BAÑOS","TRD MUEBLES DE BAÑO","TRD MUEBLE BAÑO"
"TAT07TB5620","TRD ACABADOS","TRD BAÑOS","TRD MUEBLES DE BAÑO","TRD MUEBLE LAVATORIO"
"TAT14T08197","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD BEBEDEROS"
"TAT14T08203","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD BIDET"
"TAT14T08307","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD COMPLEMENTOS GRIFERÍA"
"TAT14T08380","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD DUCHA"
"TAT14T08453","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD FLUXÓMETROS"
"TAT14T08457","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD FREGADERO"
"TAT14T08544","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD LAVAPIES"
"TAT14T08545","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD LAVATORIO"
"TAT14T08739","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD REGADERA"
"TAT14T08846","TRD ACABADOS","TRD GRIFERÍA","TRD ACCESORIOS Y REPUESTOS","TRD TINAS"
"TAT18T18198","TRD ACABADOS","TRD HOGAR","TRD ALFOMBRAS","TRD BERBER"
"TAT18T18219","TRD ACABADOS","TRD HOGAR","TRD ALFOMBRAS","TRD BOUCLE"
"TAT18T18339","TRD ACABADOS","TRD HOGAR","TRD ALFOMBRAS","TRD CUBRE PISO"
"TAT18T18553","TRD ACABADOS","TRD HOGAR","TRD ALFOMBRAS","TRD LIMPIA PIES"
"TAT18T18637","TRD ACABADOS","TRD HOGAR","TRD ALFOMBRAS","TRD PANETE"
"TAT18T18647","TRD ACABADOS","TRD HOGAR","TRD ALFOMBRAS","TRD PASTO SINTETICO"
"TAT18T18655","TRD ACABADOS","TRD HOGAR","TRD ALFOMBRAS","TRD PELO CORTADO"
"TAT18T29109","TRD ACABADOS","TRD HOGAR","TRD BBQ","TRD ACCESORIOS PARA BBQ"
"TAT18T29646","TRD ACABADOS","TRD HOGAR","TRD BBQ","TRD PARRILLAS"
"TAT18T30208","TRD ACABADOS","TRD HOGAR","TRD BODEGAS","TRD BODEGAS"
"TAT18T38213","TRD ACABADOS","TRD HOGAR","TRD CAMPING","TRD BOMBAS PARA INFLAR"
"TAT18T38260","TRD ACABADOS","TRD HOGAR","TRD CAMPING","TRD CASAS DE CAMPAÑA"
"TAT18T38301","TRD ACABADOS","TRD HOGAR","TRD CAMPING","TRD COLCHONES INFLABLES"
"TAT18T38503","TRD ACABADOS","TRD HOGAR","TRD CAMPING","TRD HIELERAS Y THERMOS"
"TAT18T38744","TRD ACABADOS","TRD HOGAR","TRD CAMPING","TRD REPELENTES"
"TAT18T38806","TRD ACABADOS","TRD HOGAR","TRD CAMPING","TRD SUSTITUTO DE HIELO"
"TAT18T38900","TRD ACABADOS","TRD HOGAR","TRD CAMPING","TRD VARIOS CAMPING"
"TAT18T50306","TRD ACABADOS","TRD HOGAR","TRD CLOSET","TRD COMPLEMENTOS CLOSET"
"TAT18T50614","TRD ACABADOS","TRD HOGAR","TRD CLOSET","TRD MODULAR"
"TAT18T52111","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD ACCESORIOS VARIOS"
"TAT18T52458","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD FREGADERO DE FIBRA VIDRIO"
"TAT18T52459","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD FREGADERO DE GRANITO"
"TAT18T52460","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD FREGADERO DE PLÁSTICO"
"TAT18T52461","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD FREGADERO DE VIDRIO"
"TAT18T52462","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD FREGADERO MARMOL"
"TAT18T52463","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD FREGADEROS ACERO INOXIDABLE"
"TAT18T52791","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD SOBRES DE GRANITO NATURAL"
"TAT18T52792","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD SOBRES DE GRANITO SINTETICO"
"TAT18T52793","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD SOBRES DE POSFORMADOS"
"TAT18T52882","TRD ACABADOS","TRD HOGAR","TRD COCINA","TRD UTENSILIOS DE COCINA"
"TAT18T54167","TRD ACABADOS","TRD HOGAR","TRD COMPLEMENTO HOGAR","TRD ARMARRÁPIDOS Y ESTANTERÍA"
"TAT18T54193","TRD ACABADOS","TRD HOGAR","TRD COMPLEMENTO HOGAR","TRD BASUREROS"
"TAT18T54209","TRD ACABADOS","TRD HOGAR","TRD COMPLEMENTO HOGAR","TRD BOLSA BASURA"
"TAT18T54370","TRD ACABADOS","TRD HOGAR","TRD COMPLEMENTO HOGAR","TRD DESHUMEDECEDOR"
"TAT18T54527","TRD ACABADOS","TRD HOGAR","TRD COMPLEMENTO HOGAR","TRD JUGUETES"
"TAT18T54684","TRD ACABADOS","TRD HOGAR","TRD COMPLEMENTO HOGAR","TRD PIZARRAS"
"TAT18T54891","TRD ACABADOS","TRD HOGAR","TRD COMPLEMENTO HOGAR","TRD VARIOS HOGAR"
"TAT18T65327","TRD ACABADOS","TRD HOGAR","TRD DECORACIÓN","TRD CORTINAS"
"TAT18T65329","TRD ACABADOS","TRD HOGAR","TRD DECORACIÓN","TRD CRISTALERÍA"
"TAT18T65411","TRD ACABADOS","TRD HOGAR","TRD DECORACIÓN","TRD ESPEJOS"
"TAT18T65662","TRD ACABADOS","TRD HOGAR","TRD DECORACIÓN","TRD PERSIANAS"
"TAT18T65899","TRD ACABADOS","TRD HOGAR","TRD DECORACIÓN","TRD SOPORTES DE TV"
"TAT18T68102","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD ABRELATAS"
"TAT18T68196","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD BATIDORAS"
"TAT18T68237","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD CAFETERAS"
"TAT18T68344","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD CUCHILLOS ELÉCTRICOS"
"TAT18T68421","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD EXPRIMIDORES DE JUGO"
"TAT18T68506","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD HORNILLAS"
"TAT18T68543","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD LAVADORAS"
"TAT18T68548","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD LICUADORAS"
"TAT18T68586","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD MAQUINAS PARA HACER TE"
"TAT18T68610","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD MICROONDAS"
"TAT18T68630","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD OLLAS ARROCERAS"
"TAT18T68631","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD OLLAS DE COCIMIENTO LENTO"
"TAT18T68687","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD PLANCHAS"
"TAT18T68721","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD PROCESADORES DE ALIMENTOS"
"TAT18T68738","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD REFRIGERADORES"
"TAT18T68745","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD REPUESTOS"
"TAT18T68765","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD SECADORAS"
"TAT18T68857","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD TOSTADORES"
"TAT18T68913","TRD ACABADOS","TRD HOGAR","TRD ELECTRODOMÉSTICOS","TRD WAFLERAS"
"TAT18T71523","TRD ACABADOS","TRD HOGAR","TRD ESTACIONAL","TRD INVIERNO"
"TAT18T71999","TRD ACABADOS","TRD HOGAR","TRD ESTACIONAL","TRD VERANO"
"TAT18T94103","TRD ACABADOS","TRD HOGAR","TRD LIMPIEZA","TRD ACCESORIOS"
"TAT18T94271","TRD ACABADOS","TRD HOGAR","TRD LIMPIEZA","TRD CEPILLOS"
"TAT18T94402","TRD ACABADOS","TRD HOGAR","TRD LIMPIEZA","TRD ESCOBAS Y PALO DE PISO"
"TAT18T94724","TRD ACABADOS","TRD HOGAR","TRD LIMPIEZA","TRD PRODUCTOS QUÍMICOS"
"TAT18TA6103","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD ACCESORIOS"
"TAT18TA6141","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD ALIMENTOS"
"TAT18TA6236","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD CADENAS Y COLLARES"
"TAT18TA6303","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD COMEDEROS PARA AVES"
"TAT18TA6373","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD DESODORANTES"
"TAT18TA6528","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD JUGUETES Y HUESOS"
"TAT18TA6650","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD PECERAS"
"TAT18TA6698","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD PLATOS"
"TAT18TA6722","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD PRODUCTOS DE ASEO"
"TAT18TA6723","TRD ACABADOS","TRD HOGAR","TRD MASCOTAS","TRD PRODUCTOS MEDICADOS PARA MASCOTA"
