"time","level","min_per_cat","dropnumwords","minchar","w2v.epochs","w2v.window","w2v.vecs","models","sample_p","train_p","include_algos","save","products","categories","categories_used","data_used","model_name","AUC","ACC","type"
"2020-10-06 19:09:43",4,10,FALSE,1,16,6,200,1,0.5,0.7,"DRF",TRUE,11982,419,223,0.477,"DRF_1_AutoML_20201006_190416",0.96345,0.81785,NA
"2020-10-06 19:14:31",4,10,FALSE,1,16,6,100,1,0.5,0.7,"DRF",TRUE,11982,419,223,0.477,"DRF_1_AutoML_20201006_191019",0.95765,0.81506,NA
"2020-10-06 20:09:19",4,10,FALSE,1,16,7,100,1,0.5,0.7,"DRF",TRUE,11982,419,223,0.477,"DRF_1_AutoML_20201006_200429",0.95537,0.8198,NA
"2020-10-06 20:11:23",4,10,FALSE,1,16,6,100,1,0.5,0.7,"DeepLearning",TRUE,11982,419,223,0.477,"DeepLearning_1_AutoML_20201006_201053",0.93077,0.44519,NA
"2020-10-07 12:04:29",4,10,FALSE,1,16,6,100,1,0.5,0.7,NA,TRUE,11982,419,223,0.477,"XGBoost_1_AutoML_20201007_120347",0.7872,0.18773,NA
"2020-10-07 12:09:19",4,10,FALSE,1,16,6,100,1,0.5,0.7,"DRF",TRUE,11982,419,223,0.477,"DRF_1_AutoML_20201007_120505",0.96214,0.81395,NA
"2020-10-07 15:39:31",4,100,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,9536,419,39,0.3796,"DRF_1_AutoML_20201007_153836",0.99132,0.92219,NA
"2020-10-07 15:40:32",4,200,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,5765,419,12,0.2295,"DRF_1_AutoML_20201007_154012",0.99495,0.93206,NA
"2020-10-07 15:41:16",4,300,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,4323,419,6,0.1721,"DRF_1_AutoML_20201007_154104",0.99457,0.93871,NA
"2020-10-07 15:46:41",4,20,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,16053,419,180,0.6391,"DRF_1_AutoML_20201007_154149",0.96149,0.85524,NA
"2020-10-07 15:53:02",4,15,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,16609,419,213,0.6612,"DRF_1_AutoML_20201007_154736",0.96118,0.84801,NA
"2020-10-07 15:56:38",4,50,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,13170,419,92,0.5243,"DRF_1_AutoML_20201007_155426",0.98434,0.89162,NA
"2020-10-07 16:03:26",4,10,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,16959,419,242,0.6751,"DRF_1_AutoML_20201007_155716",0.95175,0.82634,NA
"2020-10-07 17:20:48",4,5,FALSE,1,16,6,100,1,0.7,0.7,"DRF",TRUE,17349,419,299,0.6906,"DRF_1_AutoML_20201007_171451",0.94385,0.82698,NA
"2020-10-09 12:14:26",4,10,FALSE,1,16,6,150,1,1,1,"DRF",TRUE,24577,377,264,0.9807,"DRF_1_AutoML_20201009_120602",0.99999,0.98863,3
"2020-10-09 13:50:04",4,10,FALSE,1,16,6,150,1,1,1,"DRF",TRUE,24577,377,264,0.9807,"DRF_1_AutoML_20201009_134414",0.99999,0.99014,3
